ApartmentName,Address,AgentName,AgentPhone,AgentEmail,Reviews,ZipCode,CrimeRate,AirQualityIndex,PopulationDensity,Store,Mall,DistanceGroceryStore,DistanceBusStop,DistanceMall,BathroomCount,BedroomCount,Size,Rent,Floor,RestaurantName,Type,Hospitals,HospType
Janton Apartment,4405 i57 ford 119th st,Dilly Marsden,(559) 548-2260,d.marsden@abc.com,3.7,72511,16,3,99,Store83,Mall83,3,8,7.1,2,2,4473,585,4,Tulip Caterer,FineDining,CAROLINAS HEALTHCARE SYSTEM STANLY,Psychiatric
Winterford Residency,7845 waldron,Liza Moreland,(952) 105-0344,l.moreland@abc.com,4.4,73661,9,6,99,Store6,Mall6,1.1,2.7,8.4,1,1,2943,2127,3,Dear Sub,Takeout,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,Trauma centre
Strongbell Heights,4168 wesley,Norrie Stubson,(424) 555-6850,n.stubson@abc.com,2,72864,6,5,100,Store967,Mall967,1.7,7.8,6.7,2,2,2313,2069,4,Fuffi 2000,FineDining,MCLAREN GREATER LANSING,Rehabilitation
Shadedell Tower,7204 taft,Codie Kee,(909) 592-2801,c.kee@abc.com,2,76994,20,4,77,Store874,Mall874,9.7,8.4,3.2,1,1,3669,1921,2,Smother Brothers,FineDining,MCLAREN GREATER LANSING,Children's hospital
Ironcliff Apartment,4654 128th,Ximenes Berman,(559) 519-4603,x.berman@abc.com,2.9,73084,9,7,177,Store706,Mall706,1.2,6.1,1.3,2,2,2827,992,3,Franklin Square Senior Center,FineDining,HENRY FORD WYANDOTTE HOSPITAL,Geriatric
Highville Residency,3069 lsd irving park rd,Alleen Howard,(240) 470-9107,a.howard@abc.com,3.8,76776,18,2,158,Store765,Mall765,8.2,3.2,1,1,1,1628,1553,3,Christian Faith Fellowship,Coffehouse,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Psychiatric
Stonefox Heights,700 arcade,Cacilie Harrelson,(508) 738-7014,c.harrelson@abc.com,3.8,76101,8,8,156,Store591,Mall591,4.1,1.9,9.3,1,1,4489,1820,3,Basil Docs Crestmoor,Coffehouse,ST JOHN HOSPITAL AND MEDICAL CENTER,Trauma centre
Whitebridge Tower,9214 pleasant,Jori Gallagher,(734) 284-8154,j.gallagher@abc.com,4.9,73737,21,1,171,Store621,Mall621,1.3,1.9,1.4,1,1,3487,1390,3,Gianas Deli & Catering,FineDining,MCLAREN LAPEER REGION,Rehabilitation
Bluebell Apartment,965 constance,Delcine Luppi,(231) 681-9727,d.luppi@abc.com,2.3,72631,12,8,125,Store950,Mall950,5.1,9.2,8.4,2,2,4254,436,2,Glaze,FineDining,MCLAREN PORT HURON,Children's hospital
Marbleton Residency,1071 blackhawk,Johnnie Stein,(318) 173-8473,j.stein@abc.com,3.7,76243,9,3,168,Store852,Mall852,3.1,1.9,4.9,2,2,3365,2130,4,Darcys Dogs & Shrimp Shack,Tavern,ST JOSEPH MERCY CHELSEA,Geriatric
Cliffbarrow Heights,4070 legett,Zerk Schacter,(218) 682-2392,z.schacter@abc.com,1.8,77038,14,3,56,Store549,Mall549,2.9,8.9,1.6,1,1,2597,585,3,Chuys,FineDining,CRITTENTON HOSPITAL MEDICAL CENTER,Psychiatric
Faywald Tower,5275 cta bus turn,Jamima Sheffield,(860) 336-3836,j.sheffield@abc.com,2.3,73610,22,1,99,Store450,Mall450,10.2,5,5.7,1,1,1667,1734,4,Blue Bayou,Bar,BEAUMONT HOSPITAL - FARMINGTON HILLS,Trauma centre
Southbarrow Apartment,6364 107th,Hyatt Sidabras,(308) 903-5310,h.sidabras@abc.com,4.6,77890,10,10,64,Store632,Mall632,3.3,1.2,3.4,1,1,3206,2062,2,Recovery Sports Grill Amsterdam,Bar,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Rehabilitation
Rosefog Residency,897 burkhardt,Marilee Washington,(606) 664-6493,m.washington@abc.com,3.9,75931,5,5,139,Store71,Mall71,1.7,6,2.4,1,1,4411,1683,4,Coffee Beaner,Bar,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Children's hospital
Byiron Heights,8177 eisenhower paulina st,Kym Castro,(567) 907-7089,k.castro@abc.com,2.6,73858,22,4,163,Store745,Mall745,5.5,3.4,10.9,2,3,4160,1074,4,Restaurant Depot,Hotel,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Geriatric
Blueview Tower,3310 52nd,Ileana Bigelow,(276) 821-3980,i.bigelow@abc.com,1.8,72629,24,3,162,Store613,Mall613,8.8,2.9,3.5,1,1,2234,2012,2,Udderly Delicious,Hotel,VIDANT DUPLIN  HOSPITAL,Psychiatric
Fairmage Apartment,4256 haul,Miranda Langosy,(631) 355-7453,m.langosy@abc.com,4.5,71666,15,3,103,Store266,Mall266,9,10.7,1.4,2,3,3199,1560,2,Childrens House,Icecream,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Trauma centre
Lochfair Residency,5263 garvey,Manolo Leach,(863) 262-4077,m.leach@abc.com,5,76140,12,3,71,Store210,Mall210,4.9,3.1,5.5,2,2,2978,1856,3,Ralphs Famous Italian Ices,Icecream,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Rehabilitation
Esterwell Heights,2467 brennan,Puff Bronicki,(248) 548-9773,p.bronicki@abc.com,2.9,76947,16,7,95,Store597,Mall597,7.4,1.6,8.7,1,1,3600,925,2,Ralphs Ices,Icecream,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Children's hospital
Faycrystal Tower,3804 oxford,Florrie Hickson,(470) 718-7838,f.hickson@abc.com,1.3,72757,16,1,149,Store438,Mall438,10,5.5,8.7,2,2,4001,771,4,Allegany Mountain Resort,Resort,BEAUMONT HOSPITAL - TRENTON,Geriatric
Newwall Apartment,7141 sheridan,Hersh Zaragoza,(920) 942-6242,h.zaragoza@abc.com,4.6,76034,14,10,120,Store396,Mall396,9.2,8.6,4.4,2,3,3892,1626,2,Prince Umberto Ii,FineDining,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Psychiatric
Valford Residency,1707 catherine,Celene Leder,(830) 372-0633,c.leder@abc.com,4,75003,22,10,159,Store433,Mall433,3.9,8.7,7.4,1,1,4154,542,3,Hayloft Pub,Pub,MIDMICHIGAN MEDICAL CENTER-CLARE,Trauma centre
Wintercrystal Heights,6534 california,Ellette Bruzik,(762) 709-5441,e.bruzik@abc.com,5,75915,25,3,84,Store479,Mall479,9.2,4.2,10.8,1,1,2556,1065,2,Homer Fire Dept Community Bldg,Cafeteria,MCLAREN LAPEER REGION,Rehabilitation
Butteroak Tower,9503 kerbs,Scotty Endler,(614) 292-1914,s.endler@abc.com,1,72752,27,6,100,Store459,Mall459,2.8,7.2,9.8,2,2,4462,2089,3,Villa Vitale,Resort,MCLAREN OAKLAND,Children's hospital
Whitespell Apartment,1229 i55 cicero av,Leslie Schneps,(308) 372-3161,l.schneps@abc.com,2.6,74470,7,1,190,Store179,Mall179,3.9,10.4,3.5,1,1,3038,1898,4,Sandwich Works Cafe,Takeout,MCLAREN PORT HURON,Geriatric
Faybridge Residency,6758 randolph,Keefe Lundell,(928) 941-1105,k.lundell@abc.com,1,75062,17,12,131,Store534,Mall534,1.7,9.5,9.8,2,3,2089,764,4,Iannellis,FineDining,ST JOHN HOSPITAL AND MEDICAL CENTER,Psychiatric
Southmerrow Heights,9458 kingston,Fleming Mitra,(630) 802-9812,f.mitra@abc.com,2.4,73959,6,1,186,Store464,Mall464,4.3,3.2,2.9,2,3,3734,755,4,Grand Royale Hotel,Hotel,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Trauma centre
Mornesse Tower,5853 willard,Reggie Farrow,(678) 261-8644,r.farrow@abc.com,2.2,74123,10,6,150,Store164,Mall164,4.2,9.8,3.9,2,3,2204,1575,4,Jcc Coffee Shop,Coffeehouse,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,Rehabilitation
Eriston Apartment,9537 hermione,Horst Bills,(201) 999-2981,h.bills@abc.com,5,77437,15,9,56,Store628,Mall628,4.5,2.3,2,2,3,4325,1565,4,The Greenstone At Mels Bakery & Cafe Fse,Bakery,MCLAREN OAKLAND,Children's hospital
Colddell Residency,5721 blackstone,Cristine Bettuzzi,(731) 547-5744,c.bettuzzi@abc.com,2.2,77235,9,10,110,Store675,Mall675,4.1,3.8,4.9,2,2,2801,532,4,Balmoral Home,Hotel,MCLAREN LAPEER REGION,Geriatric
Southness Heights,598 tilden,Wilden Kaye,(678) 646-8172,w.kaye@abc.com,4.6,72237,26,10,91,Store626,Mall626,10.5,1.1,4.7,2,2,4329,1594,3,Canton Express Restaurant,Hotel,SPARROW CARSON HOSPITAL,Psychiatric
Magecastle Tower,7363 kennedy california av,Brade Parkman,(231) 259-8287,b.parkman@abc.com,4.9,73541,10,4,90,Store734,Mall734,7.4,4.6,4.9,1,1,3274,1221,4,Beggars Pizza,Pizzeria,SPARROW CARSON HOSPITAL,Trauma centre
Cleardell Apartment,3907 glenlake,Edmund Guida,(747) 141-4838,e.guida@abc.com,2,78210,13,8,123,Store392,Mall392,2.8,4.5,4.9,2,2,1666,630,3,Pandali Restaurant,Cafe,HENRY FORD WYANDOTTE HOSPITAL,Rehabilitation
Mapleley Residency,99 oshkosh,Emelyne Nedzweski,(502) 454-8218,e.nedzweski@abc.com,1.9,75830,24,11,105,Store804,Mall804,2,4.4,10.9,1,1,2336,504,3,Ponys Pub,Pub,MCLAREN PORT HURON,Children's hospital
Coastedge Heights,8280 coyle,Thomasina Bouliane,(561) 282-3251,t.bouliane@abc.com,1.2,73304,11,2,70,Store105,Mall105,6.9,4.9,7,2,3,1955,1137,4,Joshuas Cafe,Cafe,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Geriatric
Morness Tower,2367 chappel,Shalna Berman,(803) 407-5110,s.berman@abc.com,1,76720,7,12,75,Store599,Mall599,2,10.7,2.9,2,3,4048,1379,2,Mangiamo Pizza,Pizzeria,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Swyncoast Apartment,5921 pleasant,Ernestus Maniatis,(704) 491-5784,e.maniatis@abc.com,5,76763,26,9,151,Store258,Mall258,6.2,7.1,2.1,2,3,1907,907,4,Candlelight Tavern,Cafe,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Blueshore Residency,8726 wacker nb lsd lower,Winny Girone,(651) 863-0472,w.girone@abc.com,1.5,73873,20,10,69,Store523,Mall523,4.7,2.5,6.9,1,1,3253,1931,3,A & R Bakery,Bakery,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Highoak Heights,6809 lessing,Amelina Dethridge,(712) 262-9857,a.dethridge@abc.com,1.9,75973,21,9,182,Store882,Mall882,8.7,2.9,1.7,1,1,2015,2082,4,Hotel Roosevelt,FineDining,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Wintersea Tower,1528 15th,Stanislaus Zorich,(603) 894-5939,s.zorich@abc.com,3.2,76371,16,7,176,Store408,Mall408,7.4,7,7,2,3,3999,2175,4,Grammies Place,Takeout,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Edgecoast Apartment,3048 coles,Damian Sauchuk,(717) 464-6044,d.sauchuk@abc.com,3.9,71783,29,10,63,Store21,Mall21,2.8,1.8,4.4,2,3,1986,1074,3,Kikkos Koffee House,Coffehouse,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Shadowfort Residency,3008 carpenter,Audrey Dhanani,(907) 625-2821,a.dhanani@abc.com,3.9,72833,18,10,146,Store418,Mall418,3.3,6,8.8,2,2,3456,419,3,Staybridge Suites Dia,Hotel,DEKALB REGIONAL MEDICAL CENTER,Trauma centre
Esterdell Heights,9496 ferdinand,Kaiser Cybulski,(717) 983-0196,k.cybulski@abc.com,3.3,73885,11,2,159,Store928,Mall928,6.7,4.8,7.3,1,1,2589,967,2,Groovy Granola,Hotel,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Summermarble Tower,3427 elias,Bell Howerton,(937) 321-7916,b.howerton@abc.com,3.5,74393,27,7,139,Store356,Mall356,2.2,8.7,2.8,2,2,4465,2135,2,Watkins Glen State Park Lower Gorge Snack,Cafe,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Griffinhaven Apartment,2950 independence,Dagmar Kligiene,(908) 785-7366,d.kligiene@abc.com,4.1,77437,15,9,56,Store321,Mall321,10.9,8,3.9,2,2,4484,1818,2,Cool Beans Playhouse ,Cafe,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Southgriffin Residency,6816 ontario feeder express lanes,Bruno Sekelsky,(781) 872-4755,b.sekelsky@abc.com,1.4,74557,8,7,127,Store744,Mall744,6.2,2.6,6.6,2,2,3829,1619,4,Tulip Caterer,FineDining,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Silverham Heights,406 lsd belmont av,Reggie Farrow,(678) 261-8644,r.farrow@abc.com,1.6,77476,7,8,146,Store538,Mall538,7.7,3.7,2.3,2,2,1853,1067,4,Dear Sub,Takeout,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Shoreford Tower,6801 chicora,Aldis Encarnation,(360) 972-5317,a.encarnation@abc.com,2.1,72503,17,3,116,Store317,Mall317,4.8,6.3,10.4,2,2,2004,1381,4,Fuffi 2000,FineDining,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Merriden Apartment,4487 columbus,Agnes Aguirre,(684) 470-5201,a.aguirre@abc.com,5,72233,15,11,152,Store909,Mall909,6.6,2.1,6.5,2,3,2082,994,3,Smother Brothers,FineDining,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Coldmerrow Residency,5940 torrence,Husein Uretsky,(915) 149-2829,h.uretsky@abc.com,1.4,76122,24,12,145,Store506,Mall506,7.5,10.6,7.5,2,3,1888,1361,3,Franklin Square Senior Center,FineDining,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Buttermill Heights,9025 lake shore lower,Becki Tibshirani,(323) 577-3519,b.tibshirani@abc.com,1.1,71560,15,2,62,Store233,Mall233,6,6,4.6,1,1,1747,1005,4,Christian Faith Fellowship,Coffehouse,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Byhurst Tower,828 goodman,Melesa Stepniewska,(908) 914-7467,m.stepniewska@abc.com,4.7,73428,5,4,110,Store356,Mall356,1.8,7.1,6.7,1,1,3080,1384,4,Basil Docs Crestmoor,Coffehouse,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Blackmere Apartment,3257 eisenhower homan av,Madelaine Sacher,(765) 199-9538,m.sacher@abc.com,1.7,78162,5,5,177,Store989,Mall989,8.4,4.6,7.7,2,3,2715,1495,3,Gianas Deli & Catering,FineDining,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Southbridge Residency,2966 oswego,Omar Taplin,(575) 936-1820,o.taplin@abc.com,4.8,72532,5,2,144,Store586,Mall586,3.4,6.7,6.8,2,2,2967,1659,4,Glaze,FineDining,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Elfnesse Heights,9246 columbus lower,Heddie Sheingold,(213) 580-4524,h.sheingold@abc.com,2,71313,11,12,109,Store10,Mall10,9.9,7.4,1.6,1,1,3827,1584,2,Darcys Dogs & Shrimp Shack,Tavern,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Starrymill Tower,9583 sunnyside,Angelo Choo,(201) 790-4218,a.choo@abc.com,2.1,77421,22,12,72,Store941,Mall941,9.8,6.2,8.8,2,2,4276,567,2,Chuys,FineDining,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Greymarsh Apartment,765 dayton,Amelita Sepulveda,(787) 451-4116,a.sepulveda@abc.com,2.7,75293,6,11,173,Store968,Mall968,10.5,1.6,3.1,2,2,2277,1605,2,Blue Bayou,Bar,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Newbank Residency,9639 melody,Carlin Ciampaglia,(458) 768-8180,c.ciampaglia@abc.com,2.3,74209,11,2,162,Store188,Mall188,4.2,8.2,9.8,1,1,3366,2135,3,Recovery Sports Grill Amsterdam,Bar,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Mallowshore Heights,9201 lehigh,Gino Anninger,(937) 351-0868,g.anninger@abc.com,2.5,71311,11,4,128,Store559,Mall559,8,3.4,9.1,2,2,4213,1187,4,Coffee Beaner,Bar,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Snowland Tower,1756 st georges,Ailyn Harasymiak,(276) 542-6132,a.harasymiak@abc.com,4.9,72117,17,1,149,Store809,Mall809,4.9,9.2,10.6,1,1,1570,587,3,Restaurant Depot,Hotel,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Highmill Apartment,2294 francisco,Darcy Oldman,(352) 201-7188,d.oldman@abc.com,3.4,73341,9,6,75,Store748,Mall748,5.5,9.4,4.9,2,3,3860,1474,4,Udderly Delicious,Hotel,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Aldgold Residency,3172 hooker,Estrella Driesse,(702) 425-3836,e.driesse@abc.com,4.8,72843,21,2,165,Store510,Mall510,5.6,10.2,7.3,2,3,3241,1501,4,Childrens House,Icecream,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Estersage Heights,5217 walden,Averell Nicoletti,(573) 354-8006,a.nicoletti@abc.com,2.5,73940,10,9,96,Store311,Mall311,7.2,4.6,4.6,2,2,2092,957,2,Ralphs Famous Italian Ices,Icecream,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Bridgemeadow Tower,3199 kimberly,Sherrie Frost,(339) 906-7501,s.frost@abc.com,2.4,75467,20,10,174,Store406,Mall406,10.1,8,5.3,2,3,2705,821,3,Ralphs Ices,Icecream,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Redpond Apartment,4533 somerset,Gilberto Steiker,(575) 180-4935,g.steiker@abc.com,1.3,74557,8,7,127,Store280,Mall280,6.3,4.1,5.8,1,1,2434,424,2,Allegany Mountain Resort,Resort,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Deepmarsh Residency,3958 francisco,Sinclair Rachev,(615) 904-5884,s.rachev@abc.com,1.9,75577,12,12,109,Store535,Mall535,5.1,5.7,8,2,2,3428,2155,2,Prince Umberto Ii,FineDining,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Oldcliff Heights,8017 spaulding,Hubie Scherer,(410) 268-8634,h.scherer@abc.com,3.4,73461,19,3,153,Store15,Mall15,8,5.7,10.9,2,2,3519,600,2,Hayloft Pub,Pub,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Wyvernbourne Tower,7286 diversey school,Zollie Orent,(786) 764-1691,z.orent@abc.com,2.3,75930,8,5,145,Store332,Mall332,9.6,7.6,6.5,1,1,3315,1427,4,Homer Fire Dept Community Bldg,Cafeteria,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Stonemere Apartment,1959 avenue f,Parke Tosteson,(586) 215-4173,p.tosteson@abc.com,4.2,73976,9,9,140,Store350,Mall350,6,10.7,5.9,2,2,2874,1521,4,Villa Vitale,Resort,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Wildecastle Residency,644 fern,Parke Tosteson,(586) 215-4173,p.tosteson@abc.com,1.8,76245,15,10,115,Store66,Mall66,2.9,6.3,7.4,2,2,4075,1997,2,Sandwich Works Cafe,Takeout,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Westerspell Heights,4124 state,Willdon Kanki,(308) 383-3915,w.kanki@abc.com,3.7,74418,7,9,81,Store778,Mall778,5.2,5,9.5,1,1,2214,1602,3,Iannellis,FineDining,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Fairby Tower,8404 lessing,Barnabas Corbett,(217) 634-1025,b.corbett@abc.com,3.3,77029,11,8,98,Store814,Mall814,3.6,7.5,5.6,2,2,3186,1968,3,Grand Royale Hotel,Hotel,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Blackdale Apartment,4149 kimberly,Fredric Pearson,(205) 813-4846,f.pearson@abc.com,2.7,74393,27,7,139,Store642,Mall642,10.6,9.6,2.1,2,2,2103,1958,4,Jcc Coffee Shop,Coffeehouse,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Meadowcastle Residency,2125 high bridge,Nefen Clain,(559) 226-7096,n.clain@abc.com,5,77738,23,10,133,Store29,Mall29,8.4,5.5,5.3,2,2,3256,934,4,The Greenstone At Mels Bakery & Cafe Fse,Bakery,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Aelbourne Heights,5598 newcastle,Paulina Kornbrot,(425) 333-7866,p.kornbrot@abc.com,2.8,72802,20,12,144,Store539,Mall539,2.6,2.3,3.8,2,3,1626,906,3,Balmoral Home,Hotel,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Wellwyn Tower,772 avenue h,Erastus Sparda,(928) 487-6181,e.sparda@abc.com,5,75635,25,4,92,Store219,Mall219,9.1,5.3,10.5,2,3,3229,612,4,Canton Express Restaurant,Hotel,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Beechwick Apartment,9971 cabrini,Genna Brenner,(678) 145-8731,g.brenner@abc.com,3.2,72210,21,7,59,Store434,Mall434,4.2,3.4,8.2,2,2,4031,1532,4,Beggars Pizza,Pizzeria,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Rosecoast Residency,163 goethe,Donny Tilton,(224) 269-2525,d.tilton@abc.com,3.1,76776,18,2,158,Store673,Mall673,10.6,10.5,2.8,2,3,2132,1291,3,Pandali Restaurant,Cafe,SPARROW CARSON HOSPITAL,Rehabilitation
Newspring Heights,4674 belmont harbor access,Mignonne Kernan,(580) 661-7753,m.kernan@abc.com,2.2,76326,17,8,182,Store639,Mall639,3.7,8,9.7,1,1,2171,649,3,Ponys Pub,Pub,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Springford Tower,4929 levee,Virge Bercovitch,(773) 731-0754,v.bercovitch@abc.com,2,71560,15,2,62,Store95,Mall95,2,2.5,4.4,2,2,4464,1841,2,Joshuas Cafe,Cafe,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Bushhedge Apartment,6736 russell,Thayne Boyum,(530) 476-9230,t.boyum@abc.com,3.6,72441,25,3,96,Store169,Mall169,7,9.7,10,2,3,3378,1485,4,Mangiamo Pizza,Pizzeria,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
Raybarrow Residency,8200 ionia,Linus Kohler,(928) 403-2687,l.kohler@abc.com,4.3,75877,6,7,111,Store388,Mall388,6.5,4.9,3.6,2,2,3940,1699,3,Candlelight Tavern,Cafe,MARSHALL MEDICAL CENTER SOUTH,Trauma centre
Aelborough Heights,5424 25th,Daryn Fitzpatrick,(352) 894-0183,d.fitzpatrick@abc.com,2.8,77690,10,7,172,Store932,Mall932,7.4,10.1,1.6,1,1,3044,1897,2,A & R Bakery,Bakery,MARSHALL MEDICAL CENTER SOUTH,Rehabilitation
Sagegate Tower,9360 river loft,Raff Skocpol,(417) 104-7647,r.skocpol@abc.com,3.2,71598,30,4,131,Store803,Mall803,2.2,3.7,6.8,2,2,3931,1370,3,Hotel Roosevelt,FineDining,MARSHALL MEDICAL CENTER SOUTH,Children's hospital
Silvertown Apartment,3412 dan ryan ob eisenhower ob,Iggy Sacher,(671) 479-4209,i.sacher@abc.com,3.4,73042,7,9,82,Store43,Mall43,4.3,1.6,6,2,2,2203,1115,4,Grammies Place,Takeout,MARSHALL MEDICAL CENTER SOUTH,Geriatric
Mallowbank Residency,2692 stevenson damen av,Linus Kohler,(928) 403-2687,l.kohler@abc.com,3.7,75916,11,7,73,Store907,Mall907,11,6.2,7.9,2,2,3755,878,3,Kikkos Koffee House,Coffehouse,MARSHALL MEDICAL CENTER SOUTH,Psychiatric
